datetime,X_gyro,Y_gyro,Z_gyro,X_acc,Y_acc,Z_acc,X_comp,Y_comp,Z_comp,BPM,Label
37:15.2,0.016962904,-0.054245926,0.087630659,-0.125244141,0.002929688,0.85546875,-5617.851563,2827.454102,5754.717285,191,1
37:15.4,-0.467259526,0.024506729,-0.359875977,-0.010986328,0.164550781,0.678710938,-5611.125977,2826.627686,5756.178223,191,1
37:15.6,-0.113936782,-0.032961424,-0.385417372,-0.043701172,0.046875,0.875244141,-5614.74707,2823.557373,5758.710938,174,1
37:15.8,0.034908839,0.149905071,0.176144898,-0.134033203,-0.145751953,0.856689453,-5616.747559,2822.347168,5759.55957,174,1
37:16.0,0.196445331,-0.072546393,0.440591633,-0.013183594,0.249023438,0.820068359,-5610.151367,2821.605225,5760.210449,174,1
37:16.2,0.351082623,-0.00290586,0.593955338,-0.032226563,-0.016357422,0.802001953,-5607.501953,2825.597168,5758.280762,174,1
37:16.4,0.057888608,0.145553544,0.004906797,-0.082519531,0.033691406,1.016357422,-5605.62207,2829.191162,5754.546387,174,1
37:16.6,-0.395471275,0.309976339,0.04268679,-0.04296875,-0.01953125,1.039306641,-5613.407227,2829.766846,5754.696777,174,1
37:16.8,-0.619490683,0.285499156,-0.384067476,-0.160644531,-0.016113281,1.043945313,-5619.639648,2826.61792,5757.067383,174,1
37:17.0,-0.370461971,-0.042282186,-0.491554201,-0.221435547,-0.16796875,1.163574219,-5637.649414,2820.921143,5760.750977,174,1
37:17.2,0.656515181,0.030085117,-0.065864176,-0.249267578,-0.161865234,1.256591797,-5644.598145,2816.892334,5762.463867,174,1
37:17.4,0.794332385,-0.340265214,0.354504734,-0.146972656,-0.185546875,0.980957031,-5636.367676,2824.050049,5757.249023,174,1
37:17.6,-0.18581894,-0.235971153,0.053861152,-0.091796875,-0.033935547,0.875488281,-5614.681152,2828.373779,5754.214355,122,1
37:17.8,-0.344920576,-0.002373748,-0.380342692,-0.032714844,0.040039063,0.961181641,-5606.630859,2827.770264,5755.951172,122,1
37:18.0,-0.142185718,0.160452694,-0.282966107,-0.075439453,-0.005371094,0.883544922,-5611.809082,2825.082275,5757.641113,122,1
37:18.2,0.269669414,-0.000245297,0.25819236,-0.166259766,0.020263672,0.747314453,-5613.953613,2821.056152,5758.874512,122,1
37:18.4,0.252109706,-0.257255644,0.527973413,-0.035888672,0.205322266,0.795166016,-5610.388184,2821.549072,5759.107422,122,1
37:18.6,0.622460008,-0.118906401,-0.187717944,-0.010742188,0.08984375,0.724365234,-5606.813965,2824.310303,5757.447754,116,1
37:18.8,0.486239225,0.255700856,0.244889557,-0.11328125,0.179931641,0.765136719,-5616.42041,2828.444824,5753.848633,116,1
37:19.0,-0.638646722,0.407352924,-0.33670947,-0.178466797,0.039306641,1.069335938,-5620.210938,2829.328125,5751.982422,116,1
37:19.2,-0.526371002,0.21313183,-0.194635406,-0.219726563,0.049560547,1.046386719,-5629.549805,2827.254883,5753.84082,116,1
37:19.4,-0.324700296,-0.040685851,-0.162708655,-0.244628906,0.031005859,1.099121094,-5638.087891,2823.63501,5758.036133,116,1
37:19.6,0.508754313,-0.194646791,0.052057758,-0.318847656,-0.133544922,1.386962891,-5640.913574,2821.17749,5760.305664,104,1
37:19.8,0.793434501,-0.351620018,0.115911268,-0.208251953,-0.146728516,1.110595703,-5633.086914,2825.050293,5756.451172,104,1
37:20.0,-0.215450883,-0.320225358,0.019598896,0.037597656,-0.153808594,0.811279297,-5616.460938,2829.393311,5753.98584,104,1
37:20.2,-0.549617529,0.447613031,0.003103407,-0.085205078,-0.044677734,0.743896484,-5612.040527,2826.752197,5756.384766,104,1
37:20.4,0.241633788,-0.219123974,0.052057758,-0.062988281,0.424316406,0.854248047,-5612.265137,2822.220947,5759.637207,104,1
37:20.6,0.046348497,-0.157398909,0.152627036,-0.063964844,-0.032470703,0.788818359,-5612.016602,2822.636719,5759.340332,96,1
37:20.8,0.630608082,-0.45591408,0.319710374,-0.044677734,0.257324219,0.837890625,-5610.541504,2824.445068,5757.737793,96,1
